Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	INST_SPEC	TTBR_WRITE_RETIRED	BUS_CYCLES	CHAIN	L1D_CACHE_LD
2.000000	ferret	1	1224	35.000000	5.064000	0.728000	1538484124	1357315839	1810712	1538476466	0	255767933	
2.000000	ferret	1	1428	36.000000	5.056000	0.930000	1562030612	1353017476	1808772	1562022821	0	255013399	
2.000000	ferret	1	1428	36.000000	5.056000	0.930000	1555258793	1349387809	1809204	1555250834	0	254187196	
2.000000	ferret	1	1428	37.000000	5.056000	0.930000	1564219567	1358225392	1810248	1564211727	0	256212203	
2.000000	ferret	1	1479	36.000000	5.056000	0.969000	1580853331	1358020503	1810632	1580844924	0	256005804	
4.000000	ferret	1	1479	36.000000	5.056000	0.970000	1584532750	1366804963	1812884	1584524903	0	258014051	
2.000000	ferret	1	1479	36.000000	5.048000	1.049000	1572049441	1355090232	1808824	1572041433	0	255306558	
18.000000	fluidanimate	1	102	35.000000	5.072000	0.243000	1505688470	1465359268	1824488	1505676402	0	276138257	
14.000000	fluidanimate	1	102	35.000000	5.072000	0.243000	1489933109	1444673246	1820648	1489921104	0	272265696	
18.000000	fluidanimate	1	102	35.000000	5.072000	0.284000	1499723184	1449643871	1821540	1499710745	0	273177562	
8.000000	fluidanimate	1	204	36.000000	5.064000	0.364000	1454677814	1421461034	1815912	1454667573	0	268579569	
8.000000	fluidanimate	1	204	35.000000	5.064000	0.364000	1466487109	1435777280	1820776	1466476931	0	271480276	
8.000000	fluidanimate	1	204	35.000000	5.064000	0.364000	1456849821	1422207245	1816000	1456839146	0	268746014	
4.000000	fluidanimate	1	307	35.000000	5.056000	0.444000	1451536232	1412093823	1816008	1451526495	0	267167781	
8.000000	fluidanimate	1	307	35.000000	5.056000	0.444000	1451970578	1413770688	1815644	1451960939	0	267274995	
8.000000	fluidanimate	1	307	35.000000	5.056000	0.444000	1449638271	1409626564	1815912	1449628632	0	266775588	
4.000000	fluidanimate	1	403	35.000000	5.056000	0.525000	1439912890	1394104070	1811168	1439904476	0	263682149	
4.000000	fluidanimate	1	403	35.000000	5.056000	0.525000	1451522861	1401447029	1812640	1451513754	0	264810828	
4.000000	fluidanimate	1	403	35.000000	5.056000	0.525000	1460589166	1409364662	1815096	1460580570	0	266546470	
4.000000	fluidanimate	1	518	35.000000	5.056000	0.565000	1452376179	1387806105	1810632	1452367926	0	262689024	
4.000000	fluidanimate	1	518	35.000000	5.048000	0.565000	1467522122	1405457258	1815700	1467513757	0	266301351	
4.000000	fluidanimate	1	518	35.000000	5.056000	0.566000	1463957777	1398380049	1813592	1463949181	0	264734232	
4.000000	fluidanimate	1	614	35.000000	5.048000	0.646000	1475236007	1397718508	1813032	1475227768	0	264372089	
4.000000	fluidanimate	1	614	36.000000	5.048000	0.646000	1479772089	1399785608	1814136	1479764235	0	265290683	
4.000000	fluidanimate	1	614	36.000000	5.048000	0.646000	1486732450	1409518010	1815768	1486723791	0	266883512	
4.000000	fluidanimate	1	710	36.000000	5.048000	0.686000	1487068694	1398521950	1814424	1487060189	0	264954155	
2.000000	fluidanimate	1	710	36.000000	5.048000	0.726000	1492416910	1399986446	1814348	1492408874	0	265210935	
2.000000	fluidanimate	1	710	35.000000	5.048000	0.726000	1491670730	1398575458	1812916	1491661616	0	264692178	
2.000000	fluidanimate	1	921	36.000000	5.048000	0.807000	1520127274	1397883810	1814052	1520119399	0	264943927	
2.000000	fluidanimate	1	921	36.000000	5.040000	0.846000	1516982184	1395317472	1814380	1516974449	0	264454544	
2.000000	fluidanimate	1	921	36.000000	5.040000	0.846000	1523822775	1403918467	1816748	1523814963	0	265603134	
2.000000	fluidanimate	1	1036	36.000000	5.040000	0.927000	1543207967	1402181392	1814204	1543198993	0	265481895	
4.000000	fluidanimate	1	1036	36.000000	5.040000	0.927000	1536126368	1394701663	1814072	1536117800	0	264307766	
2.000000	fluidanimate	1	1036	37.000000	5.032000	1.086000	1529862217	1392135573	1812416	1529854461	0	263619871	
2.000000	fluidanimate	1	1132	36.000000	5.040000	0.927000	1536077982	1389534955	1811488	1536069974	0	263373519	
4.000000	fluidanimate	1	1132	36.000000	5.040000	0.967000	1546498805	1399664552	1816288	1546490860	0	265104539	
2.000000	fluidanimate	1	1132	36.000000	5.032000	1.006000	1525732638	1383648511	1809956	1525724539	0	261997545	
2.000000	fluidanimate	1	1224	36.000000	5.040000	1.008000	1559920944	1397283331	1813784	1559913069	0	264792013	
4.000000	fluidanimate	1	1224	36.000000	5.032000	1.167000	1553585783	1392357210	1812296	1553577908	0	263767768	
2.000000	fluidanimate	1	1224	36.000000	5.040000	1.088000	1579617348	1413441575	1820068	1579609249	0	268012386	
2.000000	fluidanimate	1	1428	36.000000	5.024000	1.406000	1583112881	1391442542	1812784	1583105153	0	263826863	
4.000000	fluidanimate	1	1428	37.000000	5.016000	1.487000	1581677928	1392035657	1812324	1581670256	0	263698083	
2.000000	fluidanimate	1	1428	37.000000	5.024000	1.286000	1580053070	1389972550	1812572	1580045615	0	263660709	
2.000000	fluidanimate	1	1479	37.000000	5.016000	1.487000	1586838631	1387576080	1812460	1586830231	0	263124963	
2.000000	fluidanimate	1	1479	37.000000	5.024000	1.446000	1583294838	1386883539	1811140	1583286683	0	262894547	
2.000000	fluidanimate	1	1479	37.000000	5.016000	1.645000	1595559027	1391941771	1812364	1595551306	0	263741682	
12.000000	freqmine	1	102	35.000000	5.064000	0.243000	1467167817	1413841131	1816188	1467157856	0	263015674	
30.000000	freqmine	1	102	36.000000	5.064000	0.243000	1466649682	1408316081	1813644	1466638419	0	261958075	
12.000000	freqmine	1	102	35.000000	5.072000	0.243000	1480018625	1423296586	1817688	1480008531	0	264896564	
10.000000	freqmine	1	204	35.000000	5.064000	0.364000	1455095912	1404706771	1816248	1455085692	0	262109741	
10.000000	freqmine	1	204	35.000000	5.064000	0.364000	1417223799	1376562194	1809340	1417214888	0	256485922	
