Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	EXC_PABORT	EXC_DABORT	0EXC_IRQ	0EXC_FIQ	0EXC_SMC
7.000000	ferret	1	204	32.000000	5.072000	0.324000	1433997996	9826	78210	2386	0	337	
5.000000	ferret	1	307	32.000000	5.072000	0.365000	1430222063	9827	78131	1765	0	327	
6.000000	ferret	1	307	32.000000	5.072000	0.405000	1428168539	9758	77895	1728	0	328	
5.000000	ferret	1	307	32.000000	5.072000	0.365000	1433379051	10115	78168	1683	0	325	
4.000000	ferret	1	403	32.000000	5.072000	0.405000	1439462746	9815	78791	1374	0	325	
4.000000	ferret	1	403	33.000000	5.072000	0.405000	1451866921	10820	79087	1356	0	329	
4.000000	ferret	1	403	33.000000	5.072000	0.405000	1439396235	9817	78525	1339	0	326	
3.000000	ferret	1	518	32.000000	5.072000	0.446000	1446505593	9801	78156	1125	0	336	
4.000000	ferret	1	518	33.000000	5.072000	0.446000	1448364620	10153	78182	1061	0	324	
4.000000	ferret	1	518	32.000000	5.072000	0.446000	1451914800	10128	78473	1042	0	329	
3.000000	ferret	1	614	32.000000	5.072000	0.486000	1476729158	10781	78428	1037	0	326	
4.000000	ferret	1	614	33.000000	5.072000	0.446000	1459564485	9773	78436	958	0	326	
3.000000	ferret	1	614	33.000000	5.072000	0.486000	1470693775	10525	78762	949	0	328	
3.000000	ferret	1	710	32.000000	5.072000	0.527000	1458110896	9490	78144	819	0	326	
3.000000	ferret	1	710	33.000000	5.072000	0.486000	1478391438	10442	78190	932	0	332	
3.000000	ferret	1	710	33.000000	5.072000	0.486000	1474406618	9836	78802	880	0	326	
3.000000	ferret	1	921	33.000000	5.064000	0.567000	1497237304	9822	78214	764	0	330	
3.000000	ferret	1	921	33.000000	5.072000	0.568000	1507609673	10134	78716	736	0	326	
2.000000	ferret	1	921	33.000000	5.064000	0.567000	1505989248	10135	78448	729	0	327	
3.000000	ferret	1	1036	33.000000	5.064000	0.607000	1513715113	9796	77883	624	0	332	
3.000000	ferret	1	1036	33.000000	5.064000	0.688000	1517314706	10170	78468	537	0	328	
3.000000	ferret	1	1036	33.000000	5.064000	0.648000	1511128386	9804	78186	671	0	336	
2.000000	ferret	1	1132	33.000000	5.072000	0.608000	1520941513	10114	78146	608	0	326	
3.000000	ferret	1	1132	33.000000	5.064000	0.648000	1511928216	9494	77841	533	0	332	
3.000000	ferret	1	1132	33.000000	5.064000	0.648000	1531886668	10817	78415	580	0	328	
3.000000	ferret	1	1224	33.000000	5.064000	0.729000	1531343475	9793	77869	530	0	328	
3.000000	ferret	1	1224	34.000000	5.064000	0.729000	1532607704	9799	78415	481	0	325	
3.000000	ferret	1	1224	33.000000	5.064000	0.729000	1532461816	9808	78427	509	0	330	
2.000000	ferret	1	1428	33.000000	5.056000	0.889000	1574467200	10154	78516	456	0	325	
2.000000	ferret	1	1428	34.000000	5.056000	0.930000	1562784633	9795	78513	472	0	331	
3.000000	ferret	1	1428	34.000000	5.056000	0.930000	1562247139	10161	78471	429	0	331	
2.000000	ferret	1	1479	34.000000	5.056000	0.970000	1570118637	9781	78197	446	0	326	
3.000000	ferret	1	1479	34.000000	5.056000	0.970000	1583001594	10153	78475	532	0	328	
3.000000	ferret	1	1479	34.000000	5.056000	1.009000	1591942406	10768	78754	459	0	332	
14.000000	fluidanimate	1	102	32.000000	5.072000	0.243000	1487967046	9863	78758	4862	0	336	
14.000000	fluidanimate	1	102	33.000000	5.072000	0.243000	1492289201	9810	79084	5071	0	341	
16.000000	fluidanimate	1	102	32.000000	5.072000	0.243000	1490485860	9832	78764	4905	0	330	
9.000000	fluidanimate	1	204	33.000000	5.064000	0.364000	1460450336	10148	79118	2563	0	345	
8.000000	fluidanimate	1	204	33.000000	5.064000	0.364000	1452326427	9807	79056	2367	0	336	
7.000000	fluidanimate	1	204	33.000000	5.064000	0.364000	1471042568	10867	79067	2374	0	334	
5.000000	fluidanimate	1	307	33.000000	5.064000	0.405000	1454767989	10160	78561	1725	0	326	
7.000000	fluidanimate	1	307	33.000000	5.064000	0.445000	1452147062	9772	79314	1841	0	329	
6.000000	fluidanimate	1	307	33.000000	5.064000	0.444000	1446716330	9843	78467	1800	0	327	
5.000000	fluidanimate	1	403	33.000000	5.056000	0.525000	1452752746	10147	78431	1424	0	331	
4.000000	fluidanimate	1	403	33.000000	5.056000	0.485000	1445821613	9474	78728	1551	0	336	
4.000000	fluidanimate	1	403	33.000000	5.056000	0.485000	1473191054	10773	78699	1477	0	340	
4.000000	fluidanimate	1	518	33.000000	5.056000	0.566000	1473673776	10162	79067	1181	0	329	
4.000000	fluidanimate	1	518	33.000000	5.056000	0.566000	1461670765	9815	78781	1122	0	327	
4.000000	fluidanimate	1	518	33.000000	5.056000	0.566000	1473232359	10214	79040	1031	0	330	
4.000000	fluidanimate	1	614	33.000000	5.056000	0.606000	1473998192	9832	78754	993	0	327	
3.000000	fluidanimate	1	614	33.000000	5.056000	0.647000	1474236863	9841	78451	906	0	326	
4.000000	fluidanimate	1	614	33.000000	5.056000	0.647000	1475286843	9800	78765	1071	0	329	
4.000000	fluidanimate	1	710	33.000000	5.056000	0.687000	1491911986	9794	79648	866	0	329	
3.000000	fluidanimate	1	710	33.000000	5.048000	0.686000	1493412174	10157	79323	756	0	329	
4.000000	fluidanimate	1	710	33.000000	5.056000	0.687000	1505841584	10760	79047	961	0	325	
3.000000	fluidanimate	1	921	33.000000	5.048000	0.848000	1516972074	9782	79044	612	0	329	
3.000000	fluidanimate	1	921	33.000000	5.048000	0.848000	1532189658	10779	78781	652	0	328	
3.000000	fluidanimate	1	921	33.000000	5.048000	0.848000	1515815784	9810	78770	748	0	332	
3.000000	fluidanimate	1	1036	33.000000	5.040000	0.927000	1545879989	10141	78752	599	0	328	
3.000000	fluidanimate	1	1036	33.000000	5.040000	0.927000	1526762644	9468	78848	686	0	327	
3.000000	fluidanimate	1	1036	34.000000	5.040000	0.927000	1532521680	9768	78739	684	0	331	
3.000000	fluidanimate	1	1132	33.000000	5.048000	0.928000	1538347309	9810	79047	555	0	332	
3.000000	fluidanimate	1	1132	33.000000	5.040000	0.927000	1534764459	9825	78425	595	0	329	
2.000000	fluidanimate	1	1132	33.000000	5.040000	0.927000	1541370789	9764	79020	558	0	332	
3.000000	fluidanimate	1	1224	34.000000	5.024000	1.487000	1593534162	10146	78774	629	0	405	
2.000000	fluidanimate	1	1224	34.000000	5.040000	1.086000	1580327483	9762	79091	602	0	361	
3.000000	fluidanimate	1	1224	34.000000	5.040000	1.169000	1559571430	10470	78709	490	0	329	
2.000000	fluidanimate	1	1428	34.000000	5.024000	1.446000	1599628797	10513	79647	497	0	331	
3.000000	fluidanimate	1	1428	34.000000	5.024000	1.567000	1579738584	9785	78457	487	0	336	
3.000000	fluidanimate	1	1428	35.000000	5.024000	1.567000	1585321112	9836	78745	444	0	328	
3.000000	fluidanimate	1	1479	34.000000	5.032000	1.368000	1574163229	9507	78412	440	0	329	
2.000000	fluidanimate	1	1479	34.000000	5.024000	1.527000	1608784349	10820	79022	452	0	331	
3.000000	fluidanimate	1	1479	35.000000	5.024000	1.607000	1599091716	10147	79048	456	0	326	
25.000000	freqmine	1	102	33.000000	5.072000	0.243000	1458118676	9457	78248	4557	0	333	
17.000000	freqmine	1	102	33.000000	5.072000	0.243000	1478791673	10184	78139	5028	0	341	
21.000000	freqmine	1	102	33.000000	5.072000	0.243000	1478908853	10487	77726	4969	0	341	
10.000000	freqmine	1	204	33.000000	5.064000	0.324000	1431378300	9821	78197	2514	0	328	
11.000000	freqmine	1	204	33.000000	5.064000	0.324000	1428740249	9814	78053	2437	0	334	
7.000000	freqmine	1	204	33.000000	5.064000	0.364000	1431684579	9782	78012	2571	0	325	
6.000000	freqmine	1	307	33.000000	5.064000	0.405000	1436120006	10183	78473	1810	0	329	
5.000000	freqmine	1	307	33.000000	5.064000	0.445000	1420197672	9468	77630	1743	0	327	
6.000000	freqmine	1	307	33.000000	5.056000	0.444000	1435095549	9808	78384	1774	0	328	
4.000000	freqmine	1	403	33.000000	5.056000	0.485000	1419979610	9460	77796	1445	0	327	
6.000000	freqmine	1	403	33.000000	5.056000	0.485000	1432754476	9832	78142	1340	0	329	
5.000000	freqmine	1	403	32.000000	5.056000	0.485000	1424282677	9493	77652	1380	0	326	
4.000000	freqmine	1	518	33.000000	5.056000	0.566000	1444554028	9812	77965	1208	0	330	
4.000000	freqmine	1	518	33.000000	5.056000	0.525000	1440694805	9793	78799	1183	0	333	
3.000000	freqmine	1	518	33.000000	5.056000	0.566000	1443379151	9833	77837	1176	0	326	
4.000000	freqmine	1	614	33.000000	5.056000	0.606000	1461316471	10123	78353	905	0	327	
4.000000	freqmine	1	614	33.000000	5.056000	0.605000	1457581455	9840	78427	979	0	328	
3.000000	freqmine	1	614	33.000000	5.056000	0.606000	1469968769	10819	78291	933	0	327	
4.000000	freqmine	1	710	33.000000	5.048000	0.686000	1460883473	9810	77930	936	0	325	
3.000000	freqmine	1	710	33.000000	5.048000	0.686000	1467029578	9830	77975	795	0	330	
3.000000	freqmine	1	710	33.000000	5.048000	0.686000	1477554199	10452	77879	891	0	328	
3.000000	freqmine	1	921	33.000000	5.048000	0.807000	1487175814	9448	77967	682	0	327	
3.000000	freqmine	1	921	33.000000	5.048000	0.807000	1499432261	9849	78404	716	0	323	
3.000000	freqmine	1	921	33.000000	5.048000	0.767000	1489280179	9531	77847	706	0	326	
3.000000	freqmine	1	1036	34.000000	5.040000	0.967000	1518049351	10453	78104	652	0	329	
3.000000	freqmine	1	1036	33.000000	5.040000	0.967000	1511739701	9816	77654	663	0	327	
3.000000	freqmine	1	1036	34.000000	5.048000	0.888000	1509648688	9861	77977	696	0	330	
2.000000	freqmine	1	1132	34.000000	5.040000	0.928000	1521837973	9856	78349	615	0	326	
3.000000	freqmine	1	1132	33.000000	5.048000	0.848000	1516775607	9812	77934	657	0	330	
2.000000	freqmine	1	1132	33.000000	5.040000	0.928000	1522004321	9798	78754	498	0	327	
