Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L2D_CACHE	L2D_CACHE_REFILL	L2D_CACHE_WB	BUS_ACCESS	MEMORY_ERROR
4.000000	fluidanimate	1	614	37.000000	5.048000	0.646000	1480271996	43953528	5126391	1353910	31408689	0	
3.000000	fluidanimate	1	614	37.000000	5.048000	0.646000	1476323066	43832098	5103506	1341001	31204541	0	
4.000000	fluidanimate	1	710	37.000000	5.048000	0.726000	1495991644	43813805	4992909	1363065	30903277	0	
4.000000	fluidanimate	1	710	37.000000	5.048000	0.686000	1501432683	43827704	5078343	1365604	31282164	0	
4.000000	fluidanimate	1	710	37.000000	5.048000	0.686000	1493103803	43869709	5045599	1351066	31084549	0	
3.000000	fluidanimate	1	921	37.000000	5.040000	0.848000	1516764528	43175552	4839735	1330409	30144507	0	
3.000000	fluidanimate	1	921	37.000000	5.048000	0.807000	1517943232	43159832	4833659	1324147	30075137	0	
3.000000	fluidanimate	1	921	37.000000	5.048000	0.807000	1507780522	42923413	4874977	1332704	30329963	0	
3.000000	fluidanimate	1	1036	38.000000	5.032000	0.927000	1538975059	43350151	4873644	1351682	30404437	0	
3.000000	fluidanimate	1	1036	38.000000	5.040000	0.887000	1539938550	43234789	4831587	1344679	30162927	0	
3.000000	fluidanimate	1	1036	38.000000	5.040000	0.927000	1552233490	43323361	4907513	1359750	30584916	0	
3.000000	fluidanimate	1	1132	38.000000	5.040000	0.927000	1548251774	42950896	4859458	1348284	30223248	0	
3.000000	fluidanimate	1	1132	37.000000	5.040000	0.967000	1555548254	43031467	4858343	1337243	30168986	0	
3.000000	fluidanimate	1	1132	38.000000	5.040000	0.967000	1541452913	42937875	4820593	1337520	30054994	0	
3.000000	fluidanimate	1	1224	38.000000	5.032000	1.086000	1551678526	42789682	4832324	1341629	30128925	0	
3.000000	fluidanimate	1	1224	38.000000	5.032000	1.127000	1564151868	42833147	4832934	1351113	30142919	0	
3.000000	fluidanimate	1	1224	38.000000	5.032000	1.086000	1562283109	43043885	4861455	1368874	30423442	0	
2.000000	fluidanimate	1	1428	39.000000	5.024000	1.487000	1591415249	43070786	4788273	1360937	30019460	0	
3.000000	fluidanimate	1	1428	39.000000	5.024000	1.406000	1598813225	42980391	4811566	1369232	30195009	0	
3.000000	fluidanimate	1	1428	39.000000	5.016000	1.524000	1590143553	43435364	4785461	1347069	29900967	0	
3.000000	fluidanimate	1	1479	38.000000	5.024000	1.366000	1595512371	42812342	4728828	1343729	29725386	0	
2.000000	fluidanimate	1	1479	39.000000	5.016000	1.605000	1585836852	42509981	4700083	1335513	29543872	0	
2.000000	fluidanimate	1	1479	39.000000	5.016000	1.605000	1592045869	42511712	4739269	1324562	29599846	0	
21.000000	freqmine	1	102	37.000000	5.064000	0.243000	1467360296	50403832	6181587	1366759	35627694	0	
13.000000	freqmine	1	102	37.000000	5.064000	0.243000	1481877550	51178053	6583349	1416842	37568007	0	
25.000000	freqmine	1	102	37.000000	5.072000	0.243000	1476995490	51108285	6552004	1402024	37247510	0	
7.000000	freqmine	1	204	37.000000	5.064000	0.324000	1436345696	47301949	5858848	1352556	34233971	0	
7.000000	freqmine	1	204	37.000000	5.064000	0.364000	1433875434	47195673	5642749	1355170	33355804	0	
10.000000	freqmine	1	204	37.000000	5.064000	0.364000	1429038605	47125502	5928529	1374321	34683020	0	
6.000000	freqmine	1	307	37.000000	5.056000	0.444000	1433008897	45766335	5454475	1335889	32416156	0	
5.000000	freqmine	1	307	37.000000	5.056000	0.444000	1420134500	45313907	5556283	1340303	32995388	0	
