Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	0EXC_HVC	0EXC_TRAP_PABORT	0EXC_TRAP_DABORT	0EXC_TRAP_OTHER	0EXC_TRAP_IRQ
4.875000	dedup	1	403	30.000000	5.056000	0.485000	1437598167	0	0	0	0	0	
5.000000	dedup	1	403	30.000000	5.056000	0.485000	1414505057	0	0	0	0	0	
3.875000	dedup	1	518	30.000000	5.056000	0.566000	1424806209	0	0	0	0	0	
3.750000	dedup	1	518	30.000000	5.056000	0.566000	1422373532	0	0	0	0	0	
3.625000	dedup	1	518	30.000000	5.056000	0.566000	1433033131	0	0	0	0	0	
3.500000	dedup	1	614	30.000000	5.056000	0.647000	1440478257	0	0	0	0	0	
4.500000	dedup	1	614	30.000000	5.056000	0.647000	1435087966	0	0	0	0	0	
3.750000	dedup	1	614	30.000000	5.048000	0.646000	1431425269	0	0	0	0	0	
3.250000	dedup	1	710	30.000000	5.048000	0.686000	1449566352	0	0	0	0	0	
3.375000	dedup	1	710	30.000000	5.048000	0.726000	1444264894	0	0	0	0	0	
4.125000	dedup	1	710	30.000000	5.048000	0.726000	1439724146	0	0	0	0	0	
3.000000	dedup	1	921	31.000000	5.048000	0.848000	1475848766	0	0	0	0	0	
2.875000	dedup	1	921	30.000000	5.048000	0.807000	1476060499	0	0	0	0	0	
3.125000	dedup	1	921	30.000000	5.048000	0.807000	1488348146	0	0	0	0	0	
2.875000	dedup	1	1036	31.000000	5.040000	0.967000	1495962035	0	0	0	0	0	
2.875000	dedup	1	1036	31.000000	5.040000	0.846000	1492967061	0	0	0	0	0	
3.125000	dedup	1	1036	31.000000	5.032000	0.885000	1488836566	0	0	0	0	0	
3.500000	dedup	1	1132	30.000000	5.032000	0.966000	1495624046	0	0	0	0	0	
3.000000	dedup	1	1132	31.000000	5.032000	0.925000	1497070479	0	0	0	0	0	
3.000000	dedup	1	1132	31.000000	5.032000	0.966000	1498057109	0	0	0	0	0	
3.625000	dedup	1	1224	31.000000	5.032000	1.127000	1509124802	0	0	0	0	0	
