Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BUS_ACCESS_PERIPH	MEM_ACCESS_LD	MEM_ACCESS_ST	UNALIGNED_LD_SPEC	UNALIGNED_ST_SPEC
6.000000	dedup	1	403	35.000000	5.056000	0.524000	1438483323	8789	257984071	194868940	1160252	61428	
6.000000	dedup	1	518	35.000000	5.048000	0.605000	1436123044	7008	254654437	192667828	1162703	61362	
4.000000	dedup	1	518	35.000000	5.048000	0.605000	1442687478	6728	256968993	194128091	935206	61688	
4.000000	dedup	1	518	36.000000	5.048000	0.605000	1428808154	7480	252770776	191285402	1049554	60802	
2.000000	dedup	1	614	36.000000	5.048000	0.686000	1447088599	6331	254500982	192446951	1290391	60935	
4.000000	dedup	1	614	35.000000	5.048000	0.646000	1459289150	6291	256578543	194005482	1044047	60945	
4.000000	dedup	1	614	36.000000	5.048000	0.646000	1444655355	6398	254048367	192289700	1045213	60623	
4.000000	dedup	1	710	35.000000	5.048000	0.726000	1456875716	5765	254171818	192182162	1288030	60269	
2.000000	dedup	1	710	35.000000	5.048000	0.726000	1466525544	5539	255898663	193458420	1288082	61176	
4.000000	dedup	1	710	36.000000	5.040000	0.725000	1458090161	5916	254428042	192418070	1157217	60338	
4.000000	dedup	1	921	36.000000	5.040000	0.846000	1487277841	5050	253176745	191783381	1293307	60580	
2.000000	dedup	1	921	36.000000	5.040000	0.846000	1490643214	4849	254007577	192100116	939359	61408	
4.000000	dedup	1	921	36.000000	5.040000	0.807000	1502364830	4968	255842789	193355296	1045677	61253	
2.000000	dedup	1	1036	36.000000	5.040000	0.966000	1502180289	4241	252917254	191272379	1046611	60820	
2.000000	dedup	1	1036	36.000000	5.040000	0.967000	1496379851	4319	252676601	191208266	1157877	60682	
4.000000	dedup	1	1036	36.000000	5.040000	0.967000	1498478054	4295	252326709	190855883	1285391	60228	
4.000000	dedup	1	1132	35.000000	5.032000	1.046000	1504466923	3837	252165809	190650544	1160529	60852	
2.000000	dedup	1	1132	36.000000	5.040000	0.967000	1507539998	3721	252553226	191415850	938395	60455	
4.000000	dedup	1	1132	36.000000	5.040000	1.008000	1503811506	3905	252569037	191152115	1157085	59962	
4.000000	dedup	1	1224	36.000000	5.040000	1.086000	1518642785	3548	252602320	190982168	935519	60455	
4.000000	dedup	1	1224	36.000000	5.032000	1.167000	1518996005	3870	252726153	191205965	930902	60629	
4.000000	dedup	1	1224	36.000000	5.032000	1.127000	1527655893	4448	253300664	191542831	938374	60927	
2.000000	dedup	1	1428	36.000000	5.032000	1.408000	1538388399	3677	251081214	189900022	1158255	60219	
2.000000	dedup	1	1428	37.000000	5.032000	1.449000	1553898148	3699	254098787	191957601	935771	60923	
2.000000	dedup	1	1428	37.000000	5.032000	1.366000	1544740634	3315	252123180	190810794	1159961	60690	
2.000000	dedup	1	1479	37.000000	5.024000	1.446000	1552899783	3076	252221562	190831448	1044833	59976	
2.000000	dedup	1	1479	36.000000	5.024000	1.446000	1554815570	3573	251444533	190391769	1041460	59973	
2.000000	dedup	1	1479	37.000000	5.024000	1.487000	1564679479	3388	253677486	191685005	934230	60517	
16.000000	ferret	1	102	35.000000	5.064000	0.243000	1465259692	31047	263174604	197343488	1173037	70648	
14.000000	ferret	1	102	35.000000	5.072000	0.243000	1465746381	32500	263311459	197463427	1058325	70611	
24.000000	ferret	1	102	35.000000	5.064000	0.243000	1470773832	31385	265318594	198847040	1061825	70527	
6.000000	ferret	1	204	35.000000	5.072000	0.324000	1448978518	16407	262630537	196509994	943200	70845	
8.000000	ferret	1	204	35.000000	5.072000	0.324000	1432098800	15715	258764226	193784575	943521	69657	
8.000000	ferret	1	204	35.000000	5.072000	0.324000	1442928090	16249	260763240	195019200	1053153	69322	
6.000000	ferret	1	307	35.000000	5.072000	0.365000	1416377597	11303	255976837	191950105	1294045	69882	
6.000000	ferret	1	307	35.000000	5.064000	0.364000	1434970633	11344	258370575	193476335	1164229	70585	
6.000000	ferret	1	307	35.000000	5.072000	0.364000	1431199331	11428	258138786	193216895	946806	70283	
4.000000	ferret	1	403	35.000000	5.072000	0.405000	1436672876	9145	257325735	192640555	943263	69836	
4.000000	ferret	1	403	35.000000	5.072000	0.405000	1437477528	8855	257144907	192693796	942362	69997	
6.000000	ferret	1	403	35.000000	5.072000	0.405000	1440475725	9389	257581094	192964608	1047370	69517	
4.000000	ferret	1	518	35.000000	5.072000	0.446000	1449670630	7237	256981785	192408185	1044788	71012	
4.000000	ferret	1	518	35.000000	5.072000	0.446000	1443816467	8034	255661041	191492357	1293508	69559	
4.000000	ferret	1	518	35.000000	5.072000	0.446000	1456642995	7196	257869166	193244506	1291343	70927	
4.000000	ferret	1	614	35.000000	5.072000	0.486000	1464713481	6582	256946502	192402285	1048197	69727	
4.000000	ferret	1	614	35.000000	5.072000	0.486000	1453039713	6047	255520738	191157574	935539	70067	
4.000000	ferret	1	614	35.000000	5.072000	0.446000	1462663966	5980	256949465	192515491	936463	69113	
4.000000	ferret	1	710	35.000000	5.064000	0.526000	1467866381	5893	255720360	191586424	939351	69499	
2.000000	ferret	1	710	35.000000	5.064000	0.526000	1467223537	5540	255847357	191766228	1160470	70262	
4.000000	ferret	1	710	35.000000	5.064000	0.486000	1475836298	5825	257338085	192478779	935513	70847	
2.000000	ferret	1	921	35.000000	5.064000	0.567000	1498878211	4518	255562492	191464325	1161932	69782	
2.000000	ferret	1	921	36.000000	5.064000	0.567000	1515880824	4447	258509578	193549710	937958	70583	
4.000000	ferret	1	921	35.000000	5.064000	0.607000	1504294408	4487	256748106	192249863	937045	70506	
4.000000	ferret	1	1036	35.000000	5.064000	0.648000	1521079222	4467	256270542	191928005	1047117	70241	
2.000000	ferret	1	1036	36.000000	5.056000	0.728000	1517891313	4073	255448502	191453507	1163045	70082	
2.000000	ferret	1	1036	36.000000	5.064000	0.648000	1510963632	4028	254571503	190804947	1287712	68944	
2.000000	ferret	1	1132	36.000000	5.064000	0.607000	1518692408	4064	254882531	190722206	1292716	69696	
2.000000	ferret	1	1132	35.000000	5.064000	0.648000	1528296665	4490	255571316	191664132	1163388	69801	
4.000000	ferret	1	1132	36.000000	5.064000	0.648000	1522919708	3941	256594750	192081596	937574	70383	
