Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	PC_WRITE_SPEC	CRYPTO_SPEC	BR_IMMED_SPEC	BR_RETURN_SPEC	BR_INDIRECT_SPEC
4.500000	dedup	1	1132	33.000000	5.040000	1.008000	1500371607	226915848	0	197754427	24211307	29125488	
3.000000	dedup	1	1132	33.000000	5.040000	0.967000	1503502272	226693821	0	197588672	24152289	29069203	
3.000000	dedup	1	1132	33.000000	5.040000	0.927000	1500601882	227317360	0	198072186	24293404	29209231	
2.500000	dedup	1	1224	34.000000	5.040000	1.048000	1520889621	226465362	0	197420794	24098473	29008625	
2.500000	dedup	1	1224	34.000000	5.040000	1.128000	1540019045	230966257	0	201248066	24761831	29682249	
3.000000	dedup	1	1224	34.000000	5.040000	1.048000	1526960421	227890256	0	198681363	24254704	29172951	
3.000000	dedup	1	1428	34.000000	5.032000	1.408000	1553079385	227613404	0	198335546	24330055	29241927	
2.500000	dedup	1	1428	34.000000	5.032000	1.408000	1559589300	230079909	0	200473598	24654843	29570359	
2.500000	dedup	1	1428	34.000000	5.032000	1.328000	1549649023	226875740	0	197728597	24199851	29111201	
3.000000	dedup	1	1479	35.000000	5.032000	1.449000	1553973163	226873388	0	197731377	24190827	29106066	
2.500000	dedup	1	1479	34.000000	5.032000	1.408000	1560780749	227612223	0	198420601	24241882	29155686	
2.500000	dedup	1	1479	35.000000	5.032000	1.489000	1556406122	226972074	0	197869133	24157390	29066988	
15.500000	ferret	1	102	33.000000	5.072000	0.243000	1470787987	234987291	0	204849987	25230467	30101215	
15.000000	ferret	1	102	33.000000	5.072000	0.243000	1469151718	234761682	0	204762490	25094063	29963095	
16.000000	ferret	1	102	32.000000	5.072000	0.243000	1454554311	232545724	0	202877459	24765953	29632164	
6.500000	ferret	1	204	32.000000	5.072000	0.324000	1441786793	233102321	0	203408709	24847387	29657509	
6.500000	ferret	1	204	33.000000	5.072000	0.324000	1443143672	233564150	0	203721539	24996972	29806514	
6.500000	ferret	1	204	33.000000	5.072000	0.324000	1440873688	232357359	0	202795567	24712312	29525691	
7.000000	ferret	1	307	33.000000	5.072000	0.405000	1426822004	230512024	0	201252488	24436854	29223461	
7.000000	ferret	1	307	33.000000	5.072000	0.365000	1437144780	231262365	0	201906880	24531428	29319403	
5.500000	ferret	1	307	33.000000	5.072000	0.365000	1424150074	229117165	0	200110898	24183667	28970187	
5.500000	ferret	1	403	33.000000	5.072000	0.405000	1444926324	231358639	0	201964789	24571052	29357766	
4.500000	ferret	1	403	33.000000	5.072000	0.405000	1437897652	229879691	0	200722072	24338137	29121534	
6.500000	ferret	1	403	33.000000	5.072000	0.405000	1442858858	230867142	0	201474533	24571732	29356529	
4.000000	ferret	1	518	33.000000	5.072000	0.446000	1444927061	228804034	0	199830681	24164126	28937260	
4.000000	ferret	1	518	33.000000	5.072000	0.446000	1449079419	229418424	0	200320160	24292877	29062188	
3.500000	ferret	1	518	33.000000	5.072000	0.446000	1435471199	227018603	0	198264213	23945908	28718292	
3.500000	ferret	1	614	33.000000	5.072000	0.486000	1457183303	228820479	0	199798391	24211964	28986015	
3.500000	ferret	1	614	33.000000	5.072000	0.446000	1459073415	229263059	0	200180580	24274313	29046397	
3.500000	ferret	1	614	33.000000	5.072000	0.446000	1461158405	229532122	0	200470174	24258136	29025866	
3.000000	ferret	1	710	33.000000	5.072000	0.486000	1475182949	229347093	0	200269212	24276629	29041795	
3.000000	ferret	1	710	33.000000	5.072000	0.486000	1466866905	228523549	0	199522539	24201750	28964926	
3.500000	ferret	1	710	33.000000	5.072000	0.486000	1467181209	228266282	0	199331644	24134247	28898561	
3.000000	ferret	1	921	33.000000	5.064000	0.567000	1507423267	229572872	0	200498005	24273113	29038784	
2.500000	ferret	1	921	33.000000	5.064000	0.568000	1501168954	228714542	0	199792249	24125720	28886215	
3.000000	ferret	1	921	33.000000	5.064000	0.567000	1506057877	230633325	0	201347013	24486487	29250228	
3.000000	ferret	1	1036	33.000000	5.064000	0.607000	1525052051	229994013	0	200802992	24395249	29154948	
3.000000	ferret	1	1036	33.000000	5.064000	0.648000	1529797479	231021205	0	201621926	24598576	29363200	
3.000000	ferret	1	1036	33.000000	5.064000	0.648000	1517866024	228978292	0	199997602	24184569	28944611	
2.500000	ferret	1	1132	33.000000	5.064000	0.687000	1531311085	229292597	0	200249096	24247883	29007420	
2.500000	ferret	1	1132	33.000000	5.064000	0.648000	1518110764	228226653	0	199339162	24094502	28851414	
3.000000	ferret	1	1132	33.000000	5.064000	0.648000	1524754986	229279376	0	200261388	24222656	28981903	
3.000000	ferret	1	1224	33.000000	5.064000	0.729000	1546938887	231087476	0	201747570	24541310	29303814	
3.000000	ferret	1	1224	33.000000	5.064000	0.729000	1542889388	229021308	0	200043463	24184041	28941753	
3.000000	ferret	1	1224	34.000000	5.064000	0.729000	1539998066	228758051	0	199834006	24128394	28887964	
2.500000	ferret	1	1428	33.000000	5.056000	0.930000	1559931857	226897862	0	198293151	23817536	28568618	
2.500000	ferret	1	1428	34.000000	5.056000	0.930000	1559992412	227010324	0	198373837	23847092	28600390	
3.500000	ferret	1	1428	34.000000	5.056000	0.930000	1559933412	227584621	0	198831420	23964011	28717129	
3.000000	ferret	1	1479	34.000000	5.056000	0.970000	1564984807	227750645	0	198923454	24031888	28791115	
3.000000	ferret	1	1479	33.000000	5.056000	0.970000	1583277052	229417193	0	200289389	24335625	29091726	
3.000000	ferret	1	1479	34.000000	5.048000	1.009000	1576504124	228489092	0	199529783	24162075	28923221	
19.500000	fluidanimate	1	102	33.000000	5.072000	0.243000	1482628550	240801354	0	209907480	25472869	30857852	
13.500000	fluidanimate	1	102	32.000000	5.072000	0.243000	1485422905	240033682	0	209177382	25431489	30820295	
14.500000	fluidanimate	1	102	33.000000	5.072000	0.243000	1487456436	240258292	0	209391894	25444569	30830377	
8.500000	fluidanimate	1	204	33.000000	5.064000	0.364000	1459623614	239395660	0	208756860	25268069	30602800	
9.500000	fluidanimate	1	204	33.000000	5.064000	0.364000	1458556813	239618139	0	208911147	25345370	30670991	
9.500000	fluidanimate	1	204	33.000000	5.064000	0.364000	1445950743	236738908	0	206550635	24820543	30152272	
6.000000	fluidanimate	1	307	33.000000	5.064000	0.405000	1441789805	235648460	0	205578575	24721601	30033889	
5.000000	fluidanimate	1	307	33.000000	5.064000	0.445000	1451343589	237480740	0	207144408	24988475	30300333	
