Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	ST_SPEC	LDST_SPEC	DP_SPEC	ASE_SPEC	VFP_SPEC
5.000000	fluidanimate	1	307	33.000000	5.064000	0.445000	1451597137	150715974	460747556	661285390	2429337	9522551	
5.250000	fluidanimate	1	307	33.000000	5.064000	0.445000	1444600414	150215108	458935574	658401026	2413061	9520390	
6.000000	fluidanimate	1	307	33.000000	5.064000	0.444000	1440170456	149756081	457943740	656337208	2425608	9524484	
4.250000	fluidanimate	1	403	34.000000	5.056000	0.525000	1460639212	151027552	461932091	663717923	2450145	9526474	
4.250000	fluidanimate	1	403	33.000000	5.056000	0.485000	1456682593	150311998	458983289	658712294	2433149	9520158	
4.500000	fluidanimate	1	403	33.000000	5.056000	0.525000	1452534053	149830354	458017748	657337268	2416813	9524164	
3.750000	fluidanimate	1	518	33.000000	5.056000	0.566000	1463859357	149551543	456749601	655422050	2417772	9522428	
3.750000	fluidanimate	1	518	34.000000	5.048000	0.606000	1458827027	149713190	457461219	656206249	2428241	9522984	
3.750000	fluidanimate	1	518	34.000000	5.056000	0.566000	1477658056	150934005	461542657	662914354	2434417	9516600	
3.500000	fluidanimate	1	614	34.000000	5.056000	0.647000	1474328138	149340260	456462737	655215740	2461151	9519904	
3.250000	fluidanimate	1	614	34.000000	5.048000	0.646000	1466039996	148627774	453938604	651129519	2422328	9522166	
3.250000	fluidanimate	1	614	34.000000	5.048000	0.646000	1476107372	149393930	456213681	654579962	2417425	9513414	
3.250000	fluidanimate	1	710	34.000000	5.048000	0.686000	1483300025	149230619	455477865	653418783	2415601	9519761	
3.250000	fluidanimate	1	710	34.000000	5.048000	0.686000	1503083931	150827051	460852666	662113139	2514658	9522442	
3.500000	fluidanimate	1	710	34.000000	5.048000	0.686000	1501954412	150632242	459914494	660796941	2527419	9518605	
