Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	UNALIGNED_LDST_SPEC	LDREX_SPEC	STREX_PASS_SPEC	STREX_FAIL_SPEC	LD_SPEC
3.500000	dedup	1	614	34.000000	5.056000	0.647000	1441747361	1348513	3762807	3708601	155	294045257	
3.500000	dedup	1	710	34.000000	5.048000	0.767000	1454833924	998294	3760107	3704128	170	294009457	
3.000000	dedup	1	710	35.000000	5.048000	0.686000	1454076915	1106773	3742938	3688892	129	293683348	
3.250000	dedup	1	710	34.000000	5.048000	0.766000	1447813137	1348838	3725652	3671488	165	292492621	
2.750000	dedup	1	921	34.000000	5.048000	0.848000	1491383296	1353434	3836083	3782078	160	295488598	
3.000000	dedup	1	921	35.000000	5.040000	0.887000	1483080203	1354895	3758167	3704567	151	293458204	
3.000000	dedup	1	921	34.000000	5.040000	0.887000	1493473249	999002	3853865	3799815	215	296118344	
3.000000	dedup	1	1036	34.000000	5.040000	0.967000	1497623020	1107196	3754463	3699881	217	293411120	
2.750000	dedup	1	1036	35.000000	5.040000	0.887000	1517625833	1350090	3876616	3822421	260	296594703	
3.000000	dedup	1	1036	35.000000	5.040000	0.927000	1503376713	1221571	3789606	3735627	174	293658577	
2.750000	dedup	1	1132	35.000000	5.040000	0.967000	1502391032	998033	3744244	3690843	123	292488884	
2.750000	dedup	1	1132	34.000000	5.040000	0.967000	1513178558	1104742	3810006	3754855	181	294435829	
3.000000	dedup	1	1132	35.000000	5.040000	0.967000	1513444608	1103323	3786389	3731983	168	294861365	
2.750000	dedup	1	1224	35.000000	5.040000	1.128000	1521762473	1105963	3787273	3733858	198	293713816	
3.500000	dedup	1	1224	35.000000	5.040000	1.127000	1519719330	1351563	3745946	3691930	325	292545383	
3.000000	dedup	1	1224	35.000000	5.040000	1.048000	1521105309	1349328	3737073	3683660	194	292300316	
3.250000	dedup	1	1428	35.000000	5.032000	1.449000	1540347660	1105685	3726041	3672578	185	291421114	
3.500000	dedup	1	1428	35.000000	5.032000	1.408000	1534367721	1106951	3678731	3624825	277	291093089	
4.250000	dedup	1	1428	35.000000	5.032000	1.368000	1540863275	1347108	3738876	3685134	329	291867754	
2.500000	dedup	1	1479	35.000000	5.024000	1.449000	1561053271	1347210	3776785	3723049	338	293281553	
2.500000	dedup	1	1479	36.000000	5.032000	1.449000	1553625356	996643	3724948	3670786	156	292741142	
2.500000	dedup	1	1479	35.000000	5.032000	1.489000	1546386857	1215506	3695957	3642764	150	290636008	
14.500000	ferret	1	102	34.000000	5.072000	0.243000	1468273198	1251760	3830490	3759855	202	308600824	
19.250000	ferret	1	102	34.000000	5.072000	0.243000	1464959319	1133868	3824308	3754619	263	307802765	
20.500000	ferret	1	102	33.000000	5.072000	0.243000	1463564097	1378308	3823849	3753144	171	307854623	
8.250000	ferret	1	204	34.000000	5.072000	0.324000	1430210645	1010614	3764825	3703969	235	302028901	
6.500000	ferret	1	204	33.000000	5.072000	0.324000	1434219328	1121229	3771659	3709343	199	302164268	
7.250000	ferret	1	204	33.000000	5.064000	0.324000	1437093629	1364217	3792639	3731298	183	303455525	
6.250000	ferret	1	307	33.000000	5.072000	0.365000	1421782863	1119854	3729703	3671139	168	298903177	
5.750000	ferret	1	307	34.000000	5.072000	0.365000	1427049747	1236171	3755260	3696357	227	299518754	
5.000000	ferret	1	307	33.000000	5.072000	0.365000	1418145573	1012229	3710800	3653231	139	298147437	
4.750000	ferret	1	403	33.000000	5.072000	0.405000	1433709108	1117307	3751365	3694443	133	298115424	
4.750000	ferret	1	403	33.000000	5.072000	0.405000	1439034038	1011806	3772296	3715012	142	299213008	
4.500000	ferret	1	403	33.000000	5.072000	0.405000	1432392156	1014614	3754907	3697256	178	298655374	
3.750000	ferret	1	518	34.000000	5.072000	0.446000	1441055445	1362402	3728108	3672388	197	296924684	
3.750000	ferret	1	518	33.000000	5.072000	0.446000	1454413668	1009645	3838268	3782727	169	299949585	
4.250000	ferret	1	518	34.000000	5.072000	0.446000	1450021533	1012608	3798477	3742681	125	299552074	
3.500000	ferret	1	614	34.000000	5.072000	0.446000	1457534531	1012592	3756417	3700201	149	297068024	
3.750000	ferret	1	614	33.000000	5.072000	0.486000	1450977312	1007678	3730253	3675143	148	296978371	
3.500000	ferret	1	614	34.000000	5.072000	0.486000	1462423545	1008436	3825060	3768106	522	299090672	
3.000000	ferret	1	710	34.000000	5.072000	0.527000	1468435724	1233383	3740398	3685871	155	296915730	
3.000000	ferret	1	710	34.000000	5.072000	0.486000	1461607449	1232332	3725348	3670095	106	296054423	
3.250000	ferret	1	710	34.000000	5.072000	0.486000	1476407244	1117622	3778760	3724140	134	298378594	
3.000000	ferret	1	921	34.000000	5.064000	0.567000	1481453810	1229365	3659575	3605042	189	294306283	
2.750000	ferret	1	921	34.000000	5.064000	0.567000	1501478895	1232013	3781647	3726628	166	297141782	
2.750000	ferret	1	921	34.000000	5.064000	0.607000	1493824126	1361535	3701052	3645836	187	295006626	
3.000000	ferret	1	1036	34.000000	5.064000	0.607000	1513937631	1118065	3792755	3737414	179	296916723	
2.750000	ferret	1	1036	34.000000	5.072000	0.568000	1510347662	1008333	3739187	3685095	242	296277660	
2.750000	ferret	1	1036	34.000000	5.064000	0.648000	1511791083	1005446	3713248	3658540	151	295700066	
3.250000	ferret	1	1132	34.000000	5.064000	0.607000	1516502301	1117581	3751692	3697448	143	296652887	
2.750000	ferret	1	1132	34.000000	5.064000	0.648000	1517915998	1116605	3742117	3687315	138	295834768	
2.750000	ferret	1	1132	34.000000	5.064000	0.648000	1511501201	1009683	3729469	3675478	162	295637623	
2.750000	ferret	1	1224	34.000000	5.064000	0.729000	1523049207	1227718	3662160	3608605	134	293727529	
2.750000	ferret	1	1224	34.000000	5.064000	0.729000	1542980746	1230789	3830206	3776391	151	297878591	
2.750000	ferret	1	1224	34.000000	5.064000	0.729000	1531758433	1007503	3720104	3665376	169	295435357	
3.500000	ferret	1	1428	34.000000	5.056000	0.930000	1560712008	1229063	3762623	3708694	135	296117474	
2.750000	ferret	1	1428	35.000000	5.056000	0.930000	1558799140	1364769	3740305	3685263	152	295244467	
2.750000	ferret	1	1428	35.000000	5.056000	0.930000	1558958851	1115342	3684700	3630956	150	294855405	
2.500000	ferret	1	1479	35.000000	5.056000	0.970000	1572037732	1359560	3762246	3708095	177	296259364	
2.750000	ferret	1	1479	35.000000	5.056000	0.970000	1557417588	1118465	3659274	3604978	202	293917665	
2.500000	ferret	1	1479	35.000000	5.056000	0.930000	1565594524	1230077	3734736	3680991	182	295215503	
19.000000	fluidanimate	1	102	34.000000	5.072000	0.243000	1480482954	1263654	3806925	3736908	177	317071201	
26.000000	fluidanimate	1	102	34.000000	5.072000	0.243000	1494932069	1379495	3850992	3778493	246	318488609	
21.250000	fluidanimate	1	102	34.000000	5.072000	0.243000	1477610512	1262282	3738301	3666633	202	315347133	
8.750000	fluidanimate	1	204	34.000000	5.064000	0.364000	1451115102	1498768	3770617	3709489	187	310868484	
9.250000	fluidanimate	1	204	34.000000	5.064000	0.364000	1449118350	1500365	3807353	3746253	154	312468042	
9.750000	fluidanimate	1	204	33.000000	5.064000	0.364000	1452581925	1249959	3818869	3758304	129	312257986	
5.750000	fluidanimate	1	307	34.000000	5.064000	0.445000	1445954701	1259077	3772231	3713555	161	308642928	
6.500000	fluidanimate	1	307	34.000000	5.064000	0.405000	1436950001	1256930	3695910	3637169	164	307325013	
6.500000	fluidanimate	1	307	34.000000	5.064000	0.445000	1451487610	1250470	3794324	3735596	135	309880574	
4.250000	fluidanimate	1	403	34.000000	5.056000	0.485000	1449131504	1138214	3786434	3729355	161	308108268	
4.500000	fluidanimate	1	403	34.000000	5.056000	0.485000	1446298134	1364259	3724447	3667172	161	306885169	
4.250000	fluidanimate	1	403	34.000000	5.056000	0.485000	1458820096	1497031	3823495	3766790	195	309276536	
4.000000	fluidanimate	1	518	34.000000	5.056000	0.566000	1467296578	1493734	3802941	3746583	182	308690286	
4.250000	fluidanimate	1	518	34.000000	5.056000	0.606000	1463104873	1491360	3815186	3758972	135	307900398	
4.500000	fluidanimate	1	518	34.000000	5.056000	0.566000	1466553565	1498738	3796394	3739793	158	308524393	
3.750000	fluidanimate	1	614	34.000000	5.056000	0.606000	1471269834	1142246	3757672	3701609	151	306225845	
3.250000	fluidanimate	1	614	34.000000	5.056000	0.606000	1467062975	1366764	3719938	3663918	183	305379306	
5.250000	fluidanimate	1	614	34.000000	5.056000	0.647000	1478823031	1494351	3800492	3745019	129	308320339	
3.250000	fluidanimate	1	710	34.000000	5.048000	0.686000	1487825560	1145110	3803340	3748129	141	307074999	
3.750000	fluidanimate	1	710	34.000000	5.048000	0.726000	1501373092	1364200	3885025	3829874	140	309305946	
3.500000	fluidanimate	1	710	34.000000	5.048000	0.686000	1487738921	1147050	3759841	3704739	148	306545123	
3.500000	fluidanimate	1	921	34.000000	5.048000	0.848000	1522021358	1360837	3813764	3759355	236	307043985	
3.250000	fluidanimate	1	921	34.000000	5.048000	0.807000	1531768284	1247553	3894136	3839899	174	309497413	
3.000000	fluidanimate	1	921	34.000000	5.048000	0.848000	1516424669	1489907	3743872	3689562	151	306880713	
