Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
3.000000	bodytrack	1	1428	38.000000	5.040000	1.209000	1781685570	8258485	268998510	528290340	660784469	4302765	
2.500000	bodytrack	1	1428	38.000000	5.032000	1.247000	1773555016	8250380	268519136	526967453	659591971	4242556	
3.000000	bodytrack	1	1428	38.000000	5.040000	1.249000	1768340706	8249380	267292230	524933085	657001082	4240608	
2.500000	bodytrack	1	1479	38.000000	5.032000	1.328000	1777050897	8251371	267026743	524340717	657534787	4226524	
2.500000	bodytrack	1	1479	38.000000	5.032000	1.328000	1788603212	8254363	269706872	528892284	662506808	4315732	
3.000000	bodytrack	1	1479	38.000000	5.032000	1.328000	1792556088	8323296	270094286	529355204	662834955	4344100	
12.500000	dedup	1	102	37.000000	5.072000	0.243000	1463551524	8984107	234612653	460911173	584604103	4688156	
18.500000	dedup	1	102	37.000000	5.072000	0.243000	1462144094	9031857	234029047	460454471	584677460	4643566	
16.000000	dedup	1	102	37.000000	5.072000	0.243000	1454670178	8986944	232673935	458289527	581952435	4623062	
8.000000	dedup	1	204	37.000000	5.064000	0.364000	1413222680	8506859	228629710	448801205	566177601	4340597	
7.000000	dedup	1	204	37.000000	5.064000	0.364000	1417679292	8480660	230656138	451700671	569215160	4408430	
12.000000	dedup	1	204	37.000000	5.056000	0.404000	1413917036	8502975	229468575	449689592	567250107	4331176	
5.000000	dedup	1	307	37.000000	5.056000	0.444000	1415710015	8366959	228952311	448928151	564659698	4282277	
5.000000	dedup	1	307	37.000000	5.056000	0.485000	1416427026	8361985	229281563	449026128	565124188	4309895	
6.000000	dedup	1	307	37.000000	5.056000	0.485000	1414992099	8339025	229066325	448225606	564561442	4253429	
5.000000	dedup	1	403	37.000000	5.056000	0.525000	1411905705	8283944	227915123	446045639	560651047	4193047	
4.000000	dedup	1	403	37.000000	5.056000	0.525000	1427311797	8342149	229154437	448061626	566388097	4259651	
5.000000	dedup	1	403	37.000000	5.048000	0.565000	1417141492	8219805	228190590	446390645	561252028	4242068	
4.000000	dedup	1	518	37.000000	5.048000	0.605000	1433386302	8235498	228048426	446118399	561346067	4221161	
4.000000	dedup	1	518	37.000000	5.048000	0.605000	1414777506	8170741	225600460	441666841	555981920	4151445	
4.000000	dedup	1	518	37.000000	5.048000	0.605000	1436987356	8213553	228202975	446645692	562288592	4206841	
4.000000	dedup	1	614	37.000000	5.048000	0.686000	1454295890	8158903	230414928	450163291	564743167	4215648	
5.000000	dedup	1	614	37.000000	5.048000	0.646000	1439113859	8160267	227035589	444419434	558360461	4149188	
4.000000	dedup	1	614	37.000000	5.048000	0.686000	1433749242	8106991	226055023	442659395	556383203	4143737	
3.000000	dedup	1	710	37.000000	5.048000	0.726000	1455274100	8118387	227936971	445479677	559213065	4110548	
3.500000	dedup	1	710	37.000000	5.040000	0.766000	1462163432	8145782	228615625	446392299	560359944	4249199	
3.000000	dedup	1	710	37.000000	5.048000	0.726000	1453167114	8127577	227480532	444587525	559047567	4141665	
3.000000	dedup	1	921	37.000000	5.040000	0.846000	1484878487	8123137	228231425	445844275	559848729	4124413	
3.000000	dedup	1	921	37.000000	5.040000	0.846000	1484967870	8084222	227433941	444101640	558326373	4137193	
2.500000	dedup	1	921	37.000000	5.040000	0.846000	1478444702	8103934	226784205	443118983	556570108	4156329	
3.000000	dedup	1	1036	37.000000	5.040000	0.927000	1499083451	8038831	227176651	444135557	557210532	4117323	
3.000000	dedup	1	1036	37.000000	5.040000	0.966000	1498183328	8074600	227831236	444877734	558181843	4115473	
4.000000	dedup	1	1036	37.000000	5.040000	0.927000	1486376784	8067042	224825134	440345409	553534478	4105544	
3.000000	dedup	1	1132	37.000000	5.032000	1.006000	1496231060	7981633	224802947	440141442	552955996	4147276	
3.000000	dedup	1	1132	37.000000	5.032000	1.006000	1488844870	7998728	224795806	439942943	553330610	4084734	
3.000000	dedup	1	1132	37.000000	5.040000	1.008000	1518627135	8112934	229386791	447911284	562274290	4216773	
4.000000	dedup	1	1224	37.000000	5.040000	1.167000	1520126753	8017576	227885705	444646133	557952811	4141237	
2.500000	dedup	1	1224	37.000000	5.032000	1.167000	1525990914	8008516	227689132	444833758	558913250	4192041	
2.500000	dedup	1	1224	37.000000	5.032000	1.127000	1523619799	8075275	228263146	446142996	559139304	4092557	
3.000000	dedup	1	1428	38.000000	5.024000	1.446000	1550074500	8014766	226435929	442850031	556210654	4207349	
3.000000	dedup	1	1428	38.000000	5.024000	1.446000	1557531367	8002409	229355845	447352442	560896869	4133512	
2.500000	dedup	1	1428	38.000000	5.032000	1.328000	1538557322	7980469	225850073	441112900	554791355	4157824	
2.500000	dedup	1	1479	38.000000	5.024000	1.487000	1549843015	8029262	226011742	442078950	556189703	4114007	
2.500000	dedup	1	1479	38.000000	5.024000	1.368000	1554666511	7975667	227026975	443696002	557429388	4113337	
2.500000	dedup	1	1479	38.000000	5.024000	1.527000	1555309795	7986819	226661998	443129014	555926025	4217781	
15.000000	ferret	1	102	36.000000	5.072000	0.243000	1455500778	9068324	231665894	457853122	583705762	4492997	
12.500000	ferret	1	102	37.000000	5.072000	0.243000	1471224507	9125035	235059696	463871071	588586399	4522541	
14.500000	ferret	1	102	36.000000	5.072000	0.243000	1483258285	9178399	237909778	468755166	593667961	4632220	
7.000000	ferret	1	204	36.000000	5.064000	0.324000	1440648352	8694423	232064637	456248011	577662868	4303812	
6.500000	ferret	1	204	36.000000	5.072000	0.324000	1435577354	8692313	231437319	455111733	576011212	4289441	
6.000000	ferret	1	204	36.000000	5.072000	0.324000	1437276961	8736253	230837711	454442713	576274096	4303798	
5.500000	ferret	1	307	36.000000	5.072000	0.364000	1430974559	8568585	230855007	453450421	572166977	4240529	
5.000000	ferret	1	307	36.000000	5.072000	0.365000	1418396554	8466075	227615368	447770392	566174323	4131542	
5.000000	ferret	1	307	36.000000	5.072000	0.365000	1430639678	8559701	229536028	450762385	571493814	4375578	
5.000000	ferret	1	403	36.000000	5.072000	0.405000	1439122232	8415668	229561944	450429226	569540292	4169676	
4.000000	ferret	1	403	36.000000	5.064000	0.405000	1432099209	8432338	228531131	448591814	567309546	4090766	
5.000000	ferret	1	403	36.000000	5.072000	0.405000	1421383564	8453436	226701153	445999266	563752624	4085506	
4.000000	ferret	1	518	36.000000	5.072000	0.445000	1448083787	8374334	229616733	450229126	567690378	4084663	
4.000000	ferret	1	518	36.000000	5.072000	0.445000	1451594386	8413313	229019750	449852249	568735637	4165235	
3.000000	ferret	1	518	36.000000	5.072000	0.446000	1454086293	8441508	230032136	451068979	569217799	4124338	
4.000000	ferret	1	614	36.000000	5.072000	0.486000	1460549060	8324121	229040257	449516050	566563813	4073920	
3.000000	ferret	1	614	37.000000	5.072000	0.486000	1459359677	8314601	228745268	448865992	567029150	4124380	
4.000000	ferret	1	614	36.000000	5.072000	0.486000	1458308115	8320416	228674314	448382439	565857518	4125929	
3.000000	ferret	1	710	36.000000	5.064000	0.526000	1473333844	8378128	228530206	448569593	566501945	4077425	
3.000000	ferret	1	710	37.000000	5.064000	0.486000	1482697750	8298278	230879171	452777886	570590569	4138049	
