Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
16.562500	dedup	1	102	27.000000	5.064000	0.243000	1461281731	8964341	235329030	462490999	585083295	4699133	
14.375000	dedup	1	102	27.000000	5.072000	0.243000	1451365181	8927659	232867026	458394521	580215091	4632879	
16.625000	dedup	1	102	27.000000	5.064000	0.202000	1461868815	8941593	234970600	461655018	583416874	4649846	
9.687500	dedup	1	204	27.000000	5.056000	0.323000	1422905849	8583824	230760140	452558070	570749910	4408072	
9.093750	dedup	1	204	27.000000	5.056000	0.323000	1410975174	8501562	229562698	450478349	567456360	4387455	
8.218750	dedup	1	204	27.000000	5.056000	0.323000	1425075308	8529498	231637102	453617788	571434914	4419229	
5.625000	dedup	1	307	27.000000	5.048000	0.444000	1413206826	8364032	229242734	449025204	565964224	4320180	
5.500000	dedup	1	307	27.000000	5.048000	0.403000	1424063493	8388875	230427101	451122995	568059975	4350630	
5.125000	dedup	1	307	27.000000	5.056000	0.404000	1414918784	8371616	229307621	448908819	565055480	4279365	
4.875000	dedup	1	403	28.000000	5.056000	0.485000	1415079467	8250749	228803753	447449505	562964455	4263203	
4.500000	dedup	1	403	27.000000	5.056000	0.485000	1414536883	8259741	227984434	446422601	560970112	4229997	
4.312500	dedup	1	403	28.000000	5.048000	0.484000	1422180549	8324935	229126447	448148157	564202522	4209143	
3.687500	dedup	1	518	27.000000	5.048000	0.565000	1445934751	8255292	231412504	452118138	566875192	4318202	
3.687500	dedup	1	518	28.000000	5.048000	0.565000	1432421034	8246640	229639928	449381193	563357109	4274432	
4.562500	dedup	1	518	27.000000	5.048000	0.565000	1425342595	8279028	227626989	445287523	559779539	4242277	
4.125000	dedup	1	614	28.000000	5.048000	0.646000	1439829439	8156377	227877849	445781031	560008816	4207368	
3.437500	dedup	1	614	28.000000	5.048000	0.646000	1431342811	8128193	226829866	444066907	557223600	4160388	
3.750000	dedup	1	614	28.000000	5.048000	0.646000	1436100139	8157957	227499533	444706998	559210406	4169466	
3.250000	dedup	1	710	28.000000	5.048000	0.686000	1464331308	8217538	230462437	450599742	565039311	4220027	
3.187500	dedup	1	710	28.000000	5.048000	0.686000	1450773607	8132682	227670141	445380039	560282158	4133436	
3.062500	dedup	1	710	28.000000	5.048000	0.726000	1450554028	8088813	227678064	445093336	558804170	4167715	
2.812500	dedup	1	921	28.000000	5.040000	0.806000	1473616682	8042859	226659072	442827970	556088498	4129743	
3.000000	dedup	1	921	28.000000	5.048000	0.767000	1477102017	8169169	227172706	444276887	557767367	4170451	
3.000000	dedup	1	921	28.000000	5.048000	0.767000	1476228729	8091377	227106763	443847869	557110093	4125575	
3.062500	dedup	1	1036	29.000000	5.040000	0.967000	1481109524	8027347	224825556	440018886	553087680	4132359	
2.875000	dedup	1	1036	28.000000	5.040000	0.887000	1499439454	8137892	227897906	445151192	558950161	4110387	
3.000000	dedup	1	1036	28.000000	5.040000	0.927000	1493336985	8023710	226932051	443530913	556601925	4107879	
2.875000	dedup	1	1132	28.000000	5.040000	0.967000	1504168058	8060366	227246704	444277251	558868504	4123254	
3.687500	dedup	1	1132	28.000000	5.040000	0.967000	1508483613	8014929	227865518	445034847	558689573	4188576	
2.750000	dedup	1	1132	28.000000	5.040000	0.966000	1497620682	8016282	225911509	441955570	554998450	4081373	
3.687500	dedup	1	1224	29.000000	5.040000	1.127000	1503405567	8038064	225262387	440802387	553218252	4111780	
2.750000	dedup	1	1224	29.000000	5.040000	1.088000	1511891861	7968936	226374822	442579530	554916369	4125278	
2.812500	dedup	1	1224	29.000000	5.040000	1.128000	1511797815	8032334	226673106	443115957	555723473	4133096	
3.312500	dedup	1	1428	30.000000	5.024000	1.406000	1553228814	8055734	228022346	445831135	558937424	4244553	
2.687500	dedup	1	1428	29.000000	5.024000	1.406000	1542872307	8017754	227238140	443819364	556565132	4131459	
2.625000	dedup	1	1428	29.000000	5.024000	1.406000	1540489274	7971315	226812890	442998194	555760446	4094882	
2.500000	dedup	1	1479	30.000000	5.024000	1.446000	1550728591	7948176	226602976	442584623	555198430	4102155	
2.562500	dedup	1	1479	30.000000	5.024000	1.366000	1559669922	7968090	227114326	443839701	557395254	4124194	
4.000000	dedup	1	1479	29.000000	5.024000	1.487000	1557172242	7966259	227999709	445377794	558445682	4173727	
12.500000	ferret	1	102	28.000000	5.072000	0.243000	1473077974	9131289	234720666	463629131	589144252	4576123	
14.687500	ferret	1	102	28.000000	5.072000	0.243000	1489769788	9222922	238892273	470673165	596003126	4718009	
16.750000	ferret	1	102	28.000000	5.072000	0.243000	1462289452	9120626	233184738	460602648	586184672	4559785	
6.875000	ferret	1	204	28.000000	5.072000	0.284000	1435966266	8687903	231139741	455215124	576518244	4416041	
6.500000	ferret	1	204	28.000000	5.072000	0.284000	1439495852	8752692	230879294	453952721	576320262	4344823	
6.812500	ferret	1	204	28.000000	5.072000	0.324000	1440563069	8692520	231866191	456009633	577034495	4420717	
5.750000	ferret	1	307	28.000000	5.072000	0.364000	1433497754	8514144	230606770	452599179	571968919	4210773	
5.750000	ferret	1	307	29.000000	5.072000	0.365000	1433888234	8523029	230232374	452023144	572235095	4305004	
5.812500	ferret	1	307	29.000000	5.072000	0.364000	1433525028	8548961	229793506	452019902	570971612	4283389	
4.437500	ferret	1	403	29.000000	5.072000	0.405000	1432566476	8414149	229354230	450365191	567464056	4192396	
4.875000	ferret	1	403	29.000000	5.072000	0.405000	1439851628	8484980	230722063	452623413	570434853	4182804	
4.687500	ferret	1	403	29.000000	5.072000	0.405000	1428576184	8369954	228593191	448902610	566556949	4199422	
4.125000	ferret	1	518	29.000000	5.072000	0.445000	1443417717	8323719	228636922	448958429	566330606	4193850	
3.750000	ferret	1	518	29.000000	5.072000	0.405000	1446006146	8341067	228388781	448805870	566725539	4133138	
3.875000	ferret	1	518	29.000000	5.072000	0.405000	1451570834	8445272	229744695	451006101	568741785	4163141	
3.625000	ferret	1	614	28.000000	5.064000	0.486000	1451503986	8270517	227677551	447162762	564534937	4117374	
3.562500	ferret	1	614	29.000000	5.064000	0.445000	1462153128	8310112	230068379	451279437	567807582	4158304	
