Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE_ST	L1D_CACHE_REFILL_LD	L1D_CACHE_REFILL_ST	L1D_CACHE_WB_VICTIM	L1D_CACHE_WB_CLEAN
8.000000	dedup	1	204	36.000000	5.064000	0.364000	1423501482	193780521	9155950	1926282	4252024	136578	
8.000000	dedup	1	204	36.000000	5.064000	0.364000	1425304621	194363090	9254612	1963417	4322949	137662	
8.000000	dedup	1	204	36.000000	5.056000	0.364000	1418062157	192900086	9184206	1947504	4252651	140858	
6.000000	dedup	1	307	36.000000	5.056000	0.485000	1423090497	192861507	8915718	1907203	4159940	137804	
6.000000	dedup	1	307	36.000000	5.056000	0.485000	1426437452	193245060	9048723	1952683	4227795	136225	
6.000000	dedup	1	307	36.000000	5.056000	0.444000	1416327247	192387537	8954308	1920099	4198022	132632	
4.000000	dedup	1	403	36.000000	5.056000	0.525000	1407493991	189859075	8742561	1909850	4086436	129508	
4.000000	dedup	1	403	36.000000	5.056000	0.525000	1423877645	191675757	8947248	1905520	4148739	130104	
4.000000	dedup	1	403	36.000000	5.048000	0.524000	1425089696	191967394	8818190	1899095	4118288	132217	
4.000000	dedup	1	518	36.000000	5.048000	0.605000	1421584022	189624956	8595731	1876339	4036876	123739	
4.000000	dedup	1	518	36.000000	5.048000	0.605000	1423139995	190187705	8745140	1892846	4064187	128657	
4.000000	dedup	1	518	36.000000	5.048000	0.605000	1432533765	191303904	8662425	1866299	4061967	123928	
4.000000	dedup	1	614	36.000000	5.048000	0.686000	1452337730	192307602	8676865	1861115	4071893	126633	
4.000000	dedup	1	614	36.000000	5.048000	0.686000	1448515331	191960925	8666704	1852827	4042980	124167	
4.000000	dedup	1	614	36.000000	5.048000	0.686000	1444543888	191108772	8702009	1888941	4119458	122654	
4.000000	dedup	1	710	36.000000	5.040000	0.766000	1457017284	190906385	8768216	1859283	4056131	120758	
4.000000	dedup	1	710	36.000000	5.048000	0.726000	1445249962	189281576	8466765	1880990	4007375	120220	
2.000000	dedup	1	710	36.000000	5.048000	0.726000	1464987498	191303128	8694289	1880769	4068674	123666	
2.000000	dedup	1	921	36.000000	5.040000	0.846000	1484382099	190217341	8559702	1831397	3980170	118395	
4.000000	dedup	1	921	36.000000	5.040000	0.846000	1483787140	189861043	8642365	1864953	4057256	116602	
4.000000	dedup	1	921	36.000000	5.040000	0.846000	1488610015	190904582	8552516	1839079	4009849	121140	
4.000000	dedup	1	1036	36.000000	5.040000	0.927000	1518316360	191717383	8897212	1946583	4177287	118912	
2.000000	dedup	1	1036	36.000000	5.040000	0.966000	1508159014	191147382	8660078	1908464	4086779	120536	
2.000000	dedup	1	1036	37.000000	5.040000	0.967000	1502320160	190454270	8541722	1840008	3994263	117712	
2.000000	dedup	1	1132	37.000000	5.040000	1.008000	1507651937	190122766	8503576	1826008	3985378	116714	
4.000000	dedup	1	1132	37.000000	5.040000	1.008000	1500761881	189170792	8501413	1872794	3997982	117369	
2.000000	dedup	1	1132	37.000000	5.040000	0.967000	1524701394	192529263	8675947	1904295	4142599	117699	
4.000000	dedup	1	1224	36.000000	5.032000	1.046000	1536930749	192081727	8575736	1850838	4050706	120417	
4.000000	dedup	1	1224	37.000000	5.032000	1.127000	1530402203	191373421	8652987	1870820	4062417	117007	
4.000000	dedup	1	1224	37.000000	5.032000	1.086000	1524439464	190379790	8515155	1858958	4017441	121967	
4.000000	dedup	1	1428	37.000000	5.024000	1.446000	1553175072	190315044	8566003	1855101	4014130	116503	
4.000000	dedup	1	1428	37.000000	5.032000	1.408000	1554175421	190568012	8594866	1882326	4069366	115061	
4.000000	dedup	1	1428	37.000000	5.032000	1.288000	1562451835	191481470	8692316	1895469	4101670	117996	
2.000000	dedup	1	1479	37.000000	5.024000	1.527000	1541186817	188174532	8462653	1862523	3957322	117202	
2.000000	dedup	1	1479	38.000000	5.024000	1.487000	1575872961	191812212	8569089	1851683	4054267	119795	
2.000000	dedup	1	1479	37.000000	5.024000	1.487000	1558309011	189973087	8544212	1892773	4045927	116852	
18.000000	ferret	1	102	36.000000	5.064000	0.243000	1461372139	196096432	9719835	1982864	4365032	155599	
12.000000	ferret	1	102	35.000000	5.072000	0.243000	1462165684	195897403	9641833	1982476	4345462	156925	
16.000000	ferret	1	102	35.000000	5.072000	0.284000	1485876741	199122688	10043657	2001935	4507216	155979	
6.000000	ferret	1	204	36.000000	5.064000	0.324000	1429860739	192405563	9158414	1923029	4163103	137199	
8.000000	ferret	1	204	36.000000	5.072000	0.324000	1433830388	193242219	9173964	1885447	4136519	136120	
6.000000	ferret	1	204	36.000000	5.072000	0.324000	1429530176	193467792	9162373	1896408	4149971	135297	
6.000000	ferret	1	307	35.000000	5.072000	0.364000	1433236683	192273845	9082660	1926236	4195608	131676	
6.000000	ferret	1	307	35.000000	5.072000	0.364000	1431263361	192833896	8922164	1871770	4083972	132726	
6.000000	ferret	1	307	36.000000	5.064000	0.405000	1423586683	190802114	8933399	1858859	4051210	131710	
6.000000	ferret	1	403	36.000000	5.072000	0.445000	1441499608	192555156	8825269	1856480	4047990	127857	
6.000000	ferret	1	403	35.000000	5.072000	0.405000	1440764180	192299780	8793346	1836124	4015246	130913	
4.000000	ferret	1	403	36.000000	5.072000	0.405000	1438040807	191659755	8834519	1875406	4050040	127353	
4.000000	ferret	1	518	36.000000	5.072000	0.446000	1452466070	191954082	8810874	1829335	3987481	125241	
4.000000	ferret	1	518	35.000000	5.072000	0.446000	1444438307	191218144	8722175	1817441	3966476	124594	
4.000000	ferret	1	518	35.000000	5.072000	0.445000	1450590447	191230912	8826474	1862175	4042256	123666	
2.000000	ferret	1	614	36.000000	5.072000	0.486000	1480979683	193687759	8983878	1857095	4087814	124606	
4.000000	ferret	1	614	35.000000	5.064000	0.486000	1462996023	191043468	8691047	1837307	3986837	120660	
4.000000	ferret	1	614	35.000000	5.072000	0.486000	1457552678	190099766	8790786	1843527	3980264	120398	
4.000000	ferret	1	710	36.000000	5.072000	0.526000	1475606201	191088343	8652556	1839587	3977642	121775	
4.000000	ferret	1	710	36.000000	5.072000	0.527000	1468626657	190834890	8605028	1810505	3936755	121445	
2.000000	ferret	1	710	36.000000	5.072000	0.526000	1471751811	191076741	8629425	1838728	3986322	119290	
2.000000	ferret	1	921	36.000000	5.064000	0.607000	1512403093	192481298	8722009	1831507	4012011	118991	
4.000000	ferret	1	921	36.000000	5.064000	0.567000	1518509284	192776565	8724987	1838629	4041946	117936	
4.000000	ferret	1	921	36.000000	5.064000	0.567000	1501533562	189951102	8580770	1811869	3915047	115819	
4.000000	ferret	1	1036	36.000000	5.064000	0.648000	1521267713	191510071	8656087	1838756	3980155	120417	
2.000000	ferret	1	1036	36.000000	5.064000	0.607000	1519575643	190809597	8677805	1848105	3974185	118018	
2.000000	ferret	1	1036	36.000000	5.064000	0.648000	1528755309	190972165	8691574	1866156	4031194	117886	
2.000000	ferret	1	1132	36.000000	5.064000	0.648000	1529176673	191425835	8782084	1829515	3987455	117305	
4.000000	ferret	1	1132	36.000000	5.064000	0.648000	1519584301	190346256	8551238	1820664	3946778	113182	
4.000000	ferret	1	1132	36.000000	5.064000	0.648000	1531131236	191476986	8670783	1840282	4004076	115754	
2.000000	ferret	1	1224	36.000000	5.064000	0.728000	1527497723	189115036	8558812	1840524	3944290	116462	
2.000000	ferret	1	1224	36.000000	5.064000	0.729000	1533372813	190109633	8489732	1800071	3896193	115621	
4.000000	ferret	1	1224	36.000000	5.056000	0.768000	1545262865	191537062	8730049	1811286	3940070	119691	
