Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	ISB_SPEC	DSB_SPEC	DMB_SPEC	EXC_UNDEF	EXC_SVC
5.500000	dedup	1	307	32.000000	5.056000	0.444000	1413846621	1847668	163463	3349333	0	35607	
5.500000	dedup	1	403	32.000000	5.056000	0.525000	1420879420	1844328	161103	3420131	0	35615	
4.500000	dedup	1	403	32.000000	5.056000	0.525000	1414911252	1843191	162551	3296183	0	35607	
5.000000	dedup	1	403	32.000000	5.056000	0.525000	1423712403	1842741	161928	3372235	0	35603	
3.500000	dedup	1	518	32.000000	5.056000	0.566000	1426512369	1839568	163339	3321462	0	35613	
4.000000	dedup	1	518	33.000000	5.056000	0.606000	1426403880	1841444	161533	3368695	0	35607	
3.500000	dedup	1	518	32.000000	5.048000	0.606000	1423293921	1840337	160356	3303348	0	35603	
4.000000	dedup	1	614	33.000000	5.056000	0.646000	1437820907	1838140	160619	3294263	0	35623	
4.000000	dedup	1	614	33.000000	5.048000	0.686000	1431736438	1837071	162629	3243552	0	35610	
3.500000	dedup	1	614	32.000000	5.048000	0.647000	1429370885	1833208	159925	3244467	0	35615	
3.500000	dedup	1	710	33.000000	5.048000	0.726000	1469704718	1841532	160842	3505063	0	35603	
3.000000	dedup	1	710	32.000000	5.048000	0.726000	1442583426	1834959	160824	3235724	0	35605	
3.500000	dedup	1	710	33.000000	5.048000	0.767000	1451625240	1835696	161860	3311007	0	35608	
3.000000	dedup	1	921	33.000000	5.048000	0.807000	1483903028	1837010	161360	3334795	0	35605	
3.000000	dedup	1	921	33.000000	5.048000	0.807000	1481691649	1836454	160302	3318908	0	35606	
5.500000	dedup	1	921	33.000000	5.048000	0.848000	1479087844	1835495	162255	3221295	0	35619	
3.000000	dedup	1	1036	33.000000	5.040000	0.887000	1506782175	1838655	160563	3415207	0	35620	
3.000000	dedup	1	1036	33.000000	5.040000	0.967000	1501220869	1837734	161620	3375394	0	35618	
3.000000	dedup	1	1036	33.000000	5.040000	0.927000	1487512264	1833718	159674	3263403	0	35607	
3.000000	dedup	1	1132	33.000000	5.040000	0.967000	1505384826	1835414	160575	3330332	0	35619	
