Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_TLB_REFILL	INST_RETIRED	EXC_TAKEN	EXC_RETURN	CID_WRITE_RETIRED
8.000000	dedup	1	204	35.000000	5.064000	0.364000	1417531615	5019104	1078046853	126698	126698	0	
8.000000	dedup	1	204	35.000000	5.064000	0.405000	1422486144	4974704	1086425936	127251	127251	0	
12.000000	dedup	1	204	35.000000	5.064000	0.364000	1423105233	4970844	1080407524	126862	126862	0	
6.000000	dedup	1	307	35.000000	5.056000	0.485000	1412458586	4864494	1072783247	125975	125975	0	
5.000000	dedup	1	307	35.000000	5.056000	0.444000	1419127071	4936617	1075253282	126732	126732	0	
5.500000	dedup	1	307	36.000000	5.056000	0.444000	1418879291	4887394	1076615384	126424	126424	0	
4.500000	dedup	1	403	36.000000	5.056000	0.525000	1411942448	4863618	1063931260	125640	125640	0	
4.500000	dedup	1	403	36.000000	5.056000	0.525000	1411014059	4871651	1061957682	124983	124983	0	
6.500000	dedup	1	403	36.000000	5.056000	0.525000	1420148810	4893599	1068937950	125653	125653	0	
3.500000	dedup	1	518	36.000000	5.048000	0.605000	1434755375	4872997	1072243478	126114	126114	0	
4.000000	dedup	1	518	36.000000	5.048000	0.646000	1415933071	4839103	1057768629	124545	124545	0	
3.500000	dedup	1	518	36.000000	5.048000	0.565000	1434727872	4905311	1069800833	125799	125799	0	
3.500000	dedup	1	614	36.000000	5.048000	0.646000	1440407485	4835459	1063005060	125210	125210	0	
3.500000	dedup	1	614	36.000000	5.048000	0.686000	1434369954	4804819	1057802795	125029	125029	0	
3.500000	dedup	1	614	36.000000	5.048000	0.686000	1436333542	4825418	1058247502	124882	124882	0	
3.500000	dedup	1	710	36.000000	5.040000	0.766000	1459508623	4908351	1067888155	125771	125771	0	
3.500000	dedup	1	710	36.000000	5.048000	0.767000	1458327923	4877470	1066326432	125389	125389	0	
3.500000	dedup	1	710	36.000000	5.040000	0.766000	1471500169	4914241	1078030833	126049	126049	0	
2.500000	dedup	1	921	36.000000	5.040000	0.846000	1468215962	4800733	1051786659	124321	124321	0	
3.000000	dedup	1	921	36.000000	5.040000	0.887000	1487399180	4835683	1066128605	124888	124888	0	
2.500000	dedup	1	921	36.000000	5.040000	0.846000	1490902049	4869074	1067448167	125407	125407	0	
3.000000	dedup	1	1036	36.000000	5.040000	0.927000	1497393784	4864156	1061604033	124916	124916	0	
3.000000	dedup	1	1036	37.000000	5.040000	1.008000	1493708340	4846728	1057297130	124969	124969	0	
2.500000	dedup	1	1036	36.000000	5.040000	0.967000	1489637775	4801738	1054910608	124747	124747	0	
3.000000	dedup	1	1132	36.000000	5.040000	0.927000	1506247479	4867672	1063272490	125382	125382	0	
2.500000	dedup	1	1132	36.000000	5.032000	1.046000	1509671952	4827962	1066262294	125061	125061	0	
3.000000	dedup	1	1132	36.000000	5.040000	0.967000	1507513474	4872716	1061004825	124944	124944	0	
3.000000	dedup	1	1224	36.000000	5.040000	1.128000	1523733970	4834237	1068788729	125486	125486	0	
3.000000	dedup	1	1224	37.000000	5.040000	1.167000	1518033726	4840499	1059730389	124733	124733	0	
3.000000	dedup	1	1224	36.000000	5.040000	1.048000	1523233285	4784765	1063659782	125194	125194	0	
2.500000	dedup	1	1428	37.000000	5.024000	1.366000	1552586032	4864821	1062258675	124766	124766	0	
2.500000	dedup	1	1428	37.000000	5.024000	1.446000	1576109289	4928380	1083074411	127015	127015	0	
2.500000	dedup	1	1428	37.000000	5.024000	1.366000	1540477336	4805795	1054914064	124010	124010	0	
3.000000	dedup	1	1479	37.000000	5.024000	1.487000	1544144514	4838593	1055919914	124459	124459	0	
2.500000	dedup	1	1479	37.000000	5.024000	1.487000	1561897495	4813702	1057182487	125023	125023	0	
2.500000	dedup	1	1479	37.000000	5.032000	1.368000	1564836591	4807213	1063474087	125232	125232	0	
19.500000	ferret	1	102	35.000000	5.072000	0.243000	1462963222	5124968	1107194469	128517	128517	0	
18.500000	ferret	1	102	35.000000	5.064000	0.283000	1474122284	5185535	1119914019	129195	129195	0	
14.000000	ferret	1	102	35.000000	5.072000	0.243000	1460248033	5160336	1102956350	128570	128570	0	
6.500000	ferret	1	204	35.000000	5.064000	0.324000	1427742362	4976443	1088078086	126689	126689	0	
7.000000	ferret	1	204	36.000000	5.072000	0.324000	1438622253	4962190	1093203847	126551	126551	0	
6.500000	ferret	1	204	35.000000	5.064000	0.324000	1436607132	5018626	1092395690	126428	126428	0	
5.500000	ferret	1	307	35.000000	5.072000	0.364000	1436176323	4956484	1093384340	126897	126897	0	
5.500000	ferret	1	307	35.000000	5.072000	0.365000	1443482527	4940446	1098125738	126745	126745	0	
6.500000	ferret	1	307	35.000000	5.072000	0.365000	1429085988	4895444	1087017879	126452	126452	0	
5.000000	ferret	1	403	35.000000	5.072000	0.405000	1447587581	4902432	1094638934	126440	126440	0	
4.500000	ferret	1	403	35.000000	5.064000	0.445000	1443060904	4872979	1087943779	125862	125862	0	
5.500000	ferret	1	403	35.000000	5.072000	0.405000	1435530300	4934146	1080931647	125818	125818	0	
4.000000	ferret	1	518	35.000000	5.064000	0.445000	1453320228	4930812	1083815022	125527	125527	0	
4.000000	ferret	1	518	35.000000	5.072000	0.446000	1452464181	4917890	1082917168	125433	125433	0	
4.000000	ferret	1	518	35.000000	5.072000	0.446000	1447434307	4910072	1079369639	125134	125134	0	
4.000000	ferret	1	614	35.000000	5.072000	0.486000	1468172150	4925809	1088917669	126192	126192	0	
3.500000	ferret	1	614	35.000000	5.064000	0.445000	1453631248	4946713	1073320498	125126	125126	0	
3.500000	ferret	1	614	36.000000	5.072000	0.486000	1453263481	4911142	1074013595	124955	124955	0	
3.500000	ferret	1	710	35.000000	5.064000	0.486000	1468121729	4853707	1073455619	124635	124635	0	
3.500000	ferret	1	710	35.000000	5.064000	0.486000	1469266197	4872537	1076327225	124893	124893	0	
3.500000	ferret	1	710	35.000000	5.072000	0.486000	1470683651	4878328	1076761482	124831	124831	0	
2.500000	ferret	1	921	36.000000	5.064000	0.607000	1500733047	4829504	1075674096	124681	124681	0	
3.000000	ferret	1	921	36.000000	5.064000	0.567000	1509554272	4921739	1086495240	125884	125884	0	
3.000000	ferret	1	921	36.000000	5.064000	0.607000	1513580131	4891364	1088717304	125606	125606	0	
2.500000	ferret	1	1036	36.000000	5.064000	0.607000	1520297781	4886056	1079593947	125580	125580	0	
3.000000	ferret	1	1036	35.000000	5.064000	0.688000	1516443995	4843850	1075318682	124643	124643	0	
2.500000	ferret	1	1036	36.000000	5.064000	0.648000	1525549955	4860956	1086547580	125872	125872	0	
2.500000	ferret	1	1132	36.000000	5.064000	0.648000	1520934333	4885626	1075620237	124712	124712	0	
2.500000	ferret	1	1132	36.000000	5.064000	0.648000	1536393159	4901666	1088730888	126151	126151	0	
2.500000	ferret	1	1132	36.000000	5.064000	0.648000	1517980640	4881428	1075785066	125070	125070	0	
3.000000	ferret	1	1224	36.000000	5.064000	0.729000	1554264235	4930568	1089310286	125613	125613	0	
3.000000	ferret	1	1224	36.000000	5.064000	0.729000	1534002604	4777022	1073525324	124680	124680	0	
2.500000	ferret	1	1224	37.000000	5.064000	0.728000	1541690604	4899464	1081400365	125160	125160	0	
3.500000	ferret	1	1428	36.000000	5.056000	0.930000	1556286771	4845752	1067764626	124221	124221	0	
3.000000	ferret	1	1428	36.000000	5.048000	0.928000	1565407530	4868063	1074433854	124850	124850	0	
3.000000	ferret	1	1428	36.000000	5.056000	0.930000	1562831673	4853515	1075844188	125150	125150	0	
2.500000	ferret	1	1479	36.000000	5.056000	0.970000	1569445057	4869582	1074183253	124564	124564	0	
2.500000	ferret	1	1479	37.000000	5.056000	0.969000	1567784428	4853466	1070318128	124248	124248	0	
2.500000	ferret	1	1479	37.000000	5.048000	1.009000	1561376505	4850985	1068603264	124228	124228	0	
17.000000	fluidanimate	1	102	35.000000	5.072000	0.243000	1483617313	5178552	1138344141	129037	129037	0	
24.000000	fluidanimate	1	102	35.000000	5.072000	0.243000	1489634139	5114445	1141073394	129428	129428	0	
20.500000	fluidanimate	1	102	35.000000	5.064000	0.283000	1477793029	5125529	1127587953	128041	128041	0	
9.000000	fluidanimate	1	204	35.000000	5.056000	0.364000	1464934408	5035948	1133836426	127840	127840	0	
8.500000	fluidanimate	1	204	35.000000	5.064000	0.364000	1443535027	4990249	1118633141	127138	127138	0	
7.000000	fluidanimate	1	204	36.000000	5.064000	0.364000	1463850932	5041405	1132156041	127753	127753	0	
5.500000	fluidanimate	1	307	36.000000	5.056000	0.444000	1453061973	4899111	1118752014	126565	126565	0	
5.000000	fluidanimate	1	307	36.000000	5.056000	0.444000	1451423818	4913490	1117436923	126773	126773	0	
6.000000	fluidanimate	1	307	35.000000	5.056000	0.444000	1457082374	4961996	1122783704	127195	127195	0	
4.000000	fluidanimate	1	403	35.000000	5.056000	0.485000	1451967928	4958366	1112602412	125940	125940	0	
4.500000	fluidanimate	1	403	35.000000	5.056000	0.485000	1469753780	4928643	1125778734	127031	127031	0	
4.500000	fluidanimate	1	403	35.000000	5.056000	0.485000	1450363323	4931588	1109199412	126238	126238	0	
4.000000	fluidanimate	1	518	35.000000	5.056000	0.606000	1463646816	4908662	1107771653	126065	126065	0	
4.000000	fluidanimate	1	518	36.000000	5.048000	0.605000	1462379663	4889994	1112563570	125856	125856	0	
