#Timestamp	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	Energy[J]	Run Duration (s)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE	L1D_TLB_REFILL	INST_RETIRED	EXC_TAKEN	EXC_RETURN	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB	L2D_CACHE	L2D_CACHE_REFILL	L2D_CACHE_WB	BUS_ACCESS	INST_SPEC	TTBR_WRITE_RETIRED	BUS_CYCLES	L1D_CACHE_LD	L1D_CACHE_ST	L1D_CACHE_REFILL_LD	L1D_CACHE_REFILL_ST	L1D_CACHE_WB_VICTIM	L1D_CACHE_WB_CLEAN	L1D_CACHE_INVAL	L1D_TLB_REFILL_LD	L1D_TLB_REFILL_ST	L2D_CACHE_LD	L2D_CACHE_ST	L2D_CACHE_REFILL_LD	L2D_CACHE_REFILL_ST	L2D_CACHE_WB_VICTIM	BUS_ACCESS_LD	BUS_ACCESS_ST	BUS_ACCESS_NOT_SHARED	BUS_ACCESS_NORMAL	BUS_ACCESS_PERIPH	MEM_ACCESS_LD	MEM_ACCESS_ST	UNALIGNED_LD_SPEC	UNALIGNED_ST_SPEC	UNALIGNED_LDST_SPEC	LDREX_SPEC	STREX_PASS_SPEC	STREX_FAIL_SPEC	LD_SPEC	ST_SPEC	LDST_SPEC	DP_SPEC	ASE_SPEC	VFP_SPEC	PC_WRITE_SPEC	BR_IMMED_SPEC	BR_RETURN_SPEC	BR_INDIRECT_SPEC	ISB_SPEC	DSB_SPEC	DMB_SPEC	EXC_SVC	EXC_PABORT	EXC_DABORT	0EXC_IRQ	0EXC_SMC	0RC_LD_SPEC	0RC_ST_SPEC
21	blackscholes	3	710	36	5.048	0.726	2.6544375	3.65625	1443172015	11958547	1653172	10295774	438983475	4845822	1052594009	123816	123816	8190521	225712896	440677053	555722422	4013789	42749492	4874338	1269365	29578738	1320460509	1801720	1432085021	248646666	187933635	8436752	1746989	3818044	119064	19748	4335278	538490	30649887	12004063	3966211	984022	1297454	19391540	10068295	29459835	29453952	5059	249255963	188307122	1035312	66196	1346707	3648282	3594971	151	288561600	145210764	437530763	630115030	2174107	51586	226838255	197861508	24220555	28940882	1838019	160340	3422194	35529	9468	77023	733	325	464943	2532288
22	blackscholes	1	921	36	5.04	0.927	2.75203125	2.96875	1492923837	11733269	1666650	10360080	445128136	4845850	1059592941	124645	124645	8061545	224585444	438367409	552419355	3969758	42747454	4694749	1259949	28831788	1322134008	1803148	1461742116	249253883	187331620	8271011	1764557	3805465	116751	20391	4375056	534763	30195816	11985493	3774331	969802	1286875	18946486	10170488	29116974	29112913	4309	248991511	187830587	929942	65601	1349438	3707315	3653416	139	289545628	144080026	434278483	625346271	2187008	51672	226321720	197384487	24183756	28901360	1836048	159774	3389829	35541	10809	77349	558	329	458902	2589133
23	blackscholes	2	921	36	5.04	0.887	2.6720875	3.0125	1468849891	11723790	1623203	10111401	438387782	4814575	1051034686	123977	123977	8083359	225169253	439845400	554570851	3948991	42409144	4731297	1259310	28977506	1341616544	1808328	1485650136	253169464	188584142	8472984	1808804	3906575	116620	17880	4376033	539503	30038773	11962709	3789577	960045	1286602	19299738	10130908	29430646	29426381	5195	250525469	189028015	928322	66228	996749	3671339	3618266	110	288687498	144298258	434723598	625928817	2098311	53580	223912824	195346293	23819192	28530663	1836422	162280	3330818	35541	10105	77013	668	332	460450	2537767
24	blackscholes	3	921	37	5.04	0.887	2.63328125	2.96875	1474157805	11690567	1633147	10094399	439232667	4912862	1066875333	124934	124934	8058856	223011800	435690454	550014733	3881569	42406811	4689168	1265438	28814217	1321472092	1804412	1462957395	249024359	188952146	8511303	1774928	3875266	118508	21113	4417699	543935	30642413	12154770	3710412	953722	1268806	19280675	10290987	29571662	29567540	4498	251385638	189548143	1282666	65861	1217783	3661667	3608340	152	288390227	144894765	436842039	629507151	2172047	51569	228431056	199148529	24527057	29246657	1834060	159827	3333381	35541	10124	77323	619	330	459152	2533075
25	blackscholes	1	1036	36	5.032	1.006	4.0227425	3.99875	1477829175	11635342	1616099	10132932	435763252	4814886	1043740412	123236	123236	8083413	228337173	444803118	561632276	3997198	42277995	4759802	1278574	29226396	1343293582	1810440	1500284196	253545179	187471323	8350249	1755304	3826260	111949	19815	4412080	543733	30279193	12098080	3635688	931827	1244225	18678875	10020711	28699586	28695637	4074	250047167	188742437	1285732	66006	1220430	3735905	3682466	153	289991145	145490770	438127186	630993777	2069219	51370	222798790	194446743	23605669	28316179	1832621	160583	3232198	35535	9804	77718	521	326	459550	2519859
26	blackscholes	2	1036	36	5.04	1.008	3.0555	3.03125	1492662775	11569652	1617581	10512047	442089150	4803332	1053189478	124104	124104	8037640	224144935	437948955	551383150	3954220	42659626	4645118	1277585	28730570	1324007284	1804316	1481548774	249667613	187946077	8386591	1765879	3848086	113400	22662	4465805	545380	30441654	12113833	3638164	941344	1260829	18569666	10026852	28596518	28592795	3792	250644217	189005061	1039287	65593	1218504	3726266	3673008	133	289906997	143594937	432667348	622502937	2112950	51410	225969192	197109234	24111528	28824089	1836050	161887	3307884	35535	9796	77052	532	328	456457	2498749
27	blackscholes	3	1036	37	5.048	0.927	3.128625	3.375	1469985419	11615710	1630874	10069198	433963070	4930809	1063282440	124591	124591	8095512	225815229	440487688	554751998	4017357	42517357	4672990	1273082	28845680	1324798360	1804460	1486626842	249784067	186722160	8360644	1756335	3826839	114943	16868	4341163	537741	29943118	11926621	3695951	953615	1258067	18759502	10134027	28893529	28889407	3720	248916249	187785976	1147674	65806	1221562	3737671	3684161	128	290704803	145248850	437847845	631224156	2082900	51581	225028910	196357612	23925543	28635426	1832334	159367	3317510	35541	10794	77893	574	331	457121	2474187
28	blackscholes	1	1132	36	5.04	1.008	2.8665	2.84375	1483596936	11582861	1621251	10113712	435605541	4791204	1042963141	123226	123226	8027797	224443550	438400434	552583016	3946240	42337893	4614018	1255698	28457714	1332872649	1806992	1494586544	251476904	189265028	8534778	1780628	3903562	118674	17487	4426835	545061	30670680	12347096	3618623	950564	1256255	19079127	10338457	29417584	29413570	3931	247917458	187158490	932112	65959	1348544	3750223	3696851	150	290886833	143522705	432332816	622149985	2103301	51603	222849143	194529677	23572922	28283607	1838775	161468	3467972	35541	9498	77294	531	332	458312	2589874
29	blackscholes	2	1132	37	5.04	0.927	2.98378125	3.21875	1494419330	11695576	1638112	10238556	437824491	4810270	1046813147	123315	123315	8139573	226878914	442878226	557116920	3966321	42198918	4644477	1280067	28765175	1333962756	1806680	1500681801	251718041	187721738	8443870	1764382	3855589	117711	17266	4410797	536640	30515296	12259122	3736993	960829	1261614	18799896	10178970	28978866	28974560	3813	251448382	189662975	1039329	66406	1217269	3678265	3624998	155	288686243	144028917	434038508	624592373	2088082	51416	222865431	194480027	23634840	28349536	1834607	159592	3386029	35541	9805	77617	524	324	457535	2562108
30	blackscholes	3	1132	36	5.04	0.927	2.8389375	3.0625	1503829575	11731145	1623690	10300562	440978725	4799842	1050755179	124193	124193	7996768	224496695	438594279	552948437	3958795	42147608	4680732	1283031	28909544	1328907010	1805564	1496350386	250681198	187247956	8359743	1776774	3828530	114941	16967	4410898	540228	30089169	12009854	3605984	924920	1238997	18906806	10134725	29041531	29037313	4099	249910147	188592740	930107	66171	1350856	3720035	3666369	169	290512347	145356528	438318443	631867854	2088276	51556	222966770	194576608	23642534	28354304	1836516	160761	3352060	35541	9788	77025	527	327	455906	2503510
